date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-08-02,Holistic Transition,member_12,29712.695,10340.0,19372.695
2035-09-30,Electric Engagement,member_12,29179.707,9870.0,19309.707
2035-07-12,Electric Engagement,member_12,28497.545,9227.545,19270.0
2035-12-13,Holistic Transition,member_12,29140.0,9870.0,19270.0
2035-12-13,Electric Engagement,member_06,29140.0,9870.0,19270.0
2035-12-13,Electric Engagement,member_13,29140.0,9870.0,19270.0
2035-06-13,Electric Engagement,member_13,29987.182,10717.183,19270.0
2035-08-01,Electric Engagement,member_12,28604.805,9400.0,19204.805
2035-03-07,Holistic Transition,member_13,29876.535,10775.731,19100.805
2035-07-12,Holistic Transition,member_12,28004.293,8930.0,19074.293
2035-06-16,Electric Engagement,member_13,29517.395,10497.759,19019.637
2035-05-11,Electric Engagement,member_13,28406.803,9400.0,19006.803
2035-02-19,Holistic Transition,member_13,29322.236,10340.0,18982.236
2035-09-09,Electric Engagement,member_13,28846.953,9870.0,18976.953
2035-09-09,Electric Engagement,member_12,28825.645,9870.0,18955.645
2035-10-31,Electric Engagement,member_13,28302.617,9466.221,18836.396
2035-02-15,Holistic Transition,member_06,28679.117,9870.0,18809.117
2035-07-20,Holistic Transition,member_13,28670.0,9870.0,18800.0
2035-05-09,Electric Engagement,member_13,28200.0,9400.0,18800.0
2035-05-11,Holistic Transition,member_13,27730.0,8930.0,18800.0
2035-05-25,Electric Engagement,member_13,28200.0,9400.0,18800.0
2035-05-11,Electric Engagement,member_06,27730.0,8930.0,18800.0
2035-05-11,Electric Engagement,member_12,28130.688,9330.687,18800.0
2035-05-11,Holistic Transition,member_12,27730.0,8930.0,18800.0
2035-07-20,Holistic Transition,member_06,28670.0,9870.0,18800.0
2035-08-08,Holistic Transition,member_12,28947.398,10147.398,18800.0
2035-03-01,Electric Engagement,member_13,28200.0,9400.0,18800.0
2035-02-22,Electric Engagement,member_13,27730.0,8930.0,18800.0
2035-06-03,Electric Engagement,member_13,28173.496,9400.0,18773.496
2036-01-04,Holistic Transition,member_06,27666.889,9033.019,18633.871
2035-10-25,Electric Engagement,member_13,28347.94,9719.932,18628.008
2035-12-07,Electric Engagement,member_13,29355.69,10810.0,18545.69
2035-10-11,Electric Engagement,member_12,28373.777,9870.0,18503.777
2035-06-16,Holistic Transition,member_12,28477.334,9982.6045,18494.73
2035-02-19,Holistic Transition,member_12,28802.748,10340.0,18462.748
2035-03-01,Electric Engagement,member_12,27831.203,9400.0,18431.203
2035-06-16,Electric Engagement,member_06,27787.027,9416.672,18370.355
2035-04-19,Holistic Transition,member_12,28404.684,10039.317,18365.367
2035-03-16,Holistic Transition,member_13,27730.012,9400.0,18330.012
2035-12-13,Holistic Transition,member_13,27780.016,9450.015,18330.0
2035-03-21,Electric Engagement,member_13,26320.0,7990.0,18330.0
2035-12-13,Holistic Transition,member_06,28048.758,9718.758,18330.0
2035-09-09,Electric Engagement,member_06,27286.494,8956.493,18330.0
2035-03-03,Holistic Transition,member_12,28459.223,10129.223,18330.0
2035-05-25,Electric Engagement,member_12,27713.275,9400.0,18313.275
2035-07-20,Holistic Transition,member_12,28131.156,9870.0,18261.156
2035-12-30,Holistic Transition,member_13,27877.229,9681.916,18195.312
2035-12-18,Electric Engagement,member_12,27575.625,9400.0,18175.625
2035-06-15,Electric Engagement,member_13,28036.45,9870.0,18166.45
2035-12-30,Electric Engagement,member_13,27548.787,9400.0,18148.787
2035-06-22,Electric Engagement,member_13,27847.59,9701.983,18145.605
2035-06-13,Electric Engagement,member_06,28447.354,10340.0,18107.354
2035-04-11,Holistic Transition,member_12,27964.46,9870.0,18094.46
2035-09-09,Holistic Transition,member_13,27019.445,8930.0,18089.445
2035-09-09,Holistic Transition,member_12,27009.512,8930.0,18079.512
2035-03-21,Electric Engagement,member_06,26064.736,7990.0,18074.736
2035-05-25,Holistic Transition,member_13,27346.125,9400.0,17946.125
2035-05-09,Electric Engagement,member_06,27298.246,9400.0,17898.246
2035-05-01,Holistic Transition,member_06,27736.025,9870.0,17866.025
2035-06-13,Holistic Transition,member_12,27730.586,9870.0,17860.586
2035-03-10,Electric Engagement,member_13,27260.0,9400.0,17860.0
2035-03-10,Holistic Transition,member_12,27260.0,9400.0,17860.0
2035-06-22,Electric Engagement,member_06,26790.0,8930.0,17860.0
2035-03-10,Electric Engagement,member_06,27260.0,9400.0,17860.0
2035-06-22,Electric Engagement,member_12,26790.0,8930.0,17860.0
2035-03-16,Holistic Transition,member_12,26790.0,8930.0,17860.0
2035-03-16,Holistic Transition,member_06,26790.0,8930.0,17860.0
